reward,loss
6.5,0.6341191530227661
6.5,0.19319117069244385
6.5,0.13845908641815186
7.5,0.1454416811466217
5.5,0.16424278914928436
4.5,0.1670587658882141
6.5,0.1853335052728653
5.0,0.1993403285741806
6.0,0.22007109224796295
6.0,0.23664617538452148
6.5,0.2658202052116394
5.5,0.28376829624176025
6.0,0.30189234018325806
6.0,0.3298511505126953
6.0,0.3528047204017639
5.0,0.36939987540245056
6.5,0.3792288601398468
6.5,0.40838202834129333
5.0,0.4170515537261963
7.5,0.42396309971809387
8.5,0.4318401515483856
5.0,0.41707542538642883
6.0,0.41014525294303894
6.5,0.39455142617225647
5.5,0.38290876150131226
6.0,0.3467642068862915
5.5,0.31213730573654175
9.0,0.28257808089256287
5.5,0.27904945611953735
8.0,0.268415242433548
5.0,0.26004403829574585
7.5,0.2660103440284729
6.5,0.27490440011024475
5.0,0.28645971417427063
6.0,0.28461241722106934
6.5,0.2804708778858185
5.0,0.28830936551094055
7.0,0.2931833565235138
5.0,0.2845868170261383
5.0,0.29087597131729126
6.0,0.2792172133922577
5.5,0.27849081158638
6.0,0.2873902916908264
4.5,0.2818634510040283
5.5,0.26810866594314575
5.0,0.2603963315486908
5.0,0.2584601640701294
5.0,0.24725662171840668
5.5,0.25372156500816345
5.0,0.24958311021327972
5.5,0.2507806420326233
5.5,0.2363566905260086
5.5,0.23733747005462646
5.0,0.2190011441707611
6.0,0.2122841328382492
6.0,0.20235346257686615
5.5,0.19035576283931732
5.5,0.1836751401424408
5.5,0.19222697615623474
5.0,0.17843210697174072
4.5,0.18757489323616028
5.0,0.18627403676509857
5.0,0.17899179458618164
6.5,0.18029184639453888
6.0,0.17312853038311005
5.0,0.16215607523918152
6.5,0.1639319658279419
5.0,0.1575157642364502
5.5,0.15950851142406464
6.0,0.16704055666923523
4.5,0.15913839638233185
5.5,0.15669676661491394
5.0,0.13918918371200562
5.0,0.13540057837963104
5.0,0.12860077619552612
5.0,0.12855292856693268
5.0,0.12308624386787415
5.0,0.1178533136844635
5.5,0.11962008476257324
6.5,0.11552437394857407
4.5,0.11392366886138916
5.0,0.11162645369768143
5.5,0.11093612760305405
5.0,0.1029447466135025
4.5,0.10865587741136551
5.0,0.11124123632907867
5.0,0.1004030629992485
5.5,0.09845466166734695
5.0,0.09583195298910141
5.0,0.09845919907093048
5.0,0.08923690766096115
5.0,0.0877421572804451
5.5,0.08720172941684723
4.5,0.0832984447479248
5.5,0.08858495950698853
5.5,0.07915129512548447
5.5,0.08667139708995819
5.5,0.08441425114870071
5.5,0.0805775448679924
4.5,0.07804211229085922
5.5,0.07648272067308426
5.0,0.07256393879652023
